,ID,Description,setSize,enrichmentScore,NES,pvalue,p.adjust,qvalue,rank,leading_edge,core_enrichment
HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,HALLMARK_MYC_TARGETS_V2,56,0.476540588144583,1.41429686166577,0.0274279804216255,0.261110186103139,0.23087637508067,3562,tags=57%, list=27%, signal=42%,13340/71974/27993/72515/53608/66942/12567/100608/67134/110109/76130/67973/227746/107071/101612/15528/30877/59028/17218/18432/20873/20810/235036/66164/27966/21379/66590/27998/21453/64934/231872/17869
HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,HALLMARK_UV_RESPONSE_DN,121,0.379115704948386,1.26583494476927,0.0822669104204753,0.316411193924905,0.279774108312548,2070,tags=24%, list=16%, signal=20%,57265/218038/268977/226751/22325/20273/27360/18787/15529/19088/14007/12064/18129/16590/11987/216616/381290/14773/21813/30953/50768/16001/11990/226519/64009/57312/16531/229615/24000
HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,HALLMARK_ANGIOGENESIS,25,0.378974251367118,0.949459888781405,0.542914171656687,0.741495443482198,0.655638076342154,903,tags=24%, list=7%, signal=22%,22325/17701/16956/21824/20198/16449
HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,HALLMARK_HEDGEHOG_SIGNALING,25,0.371876437337768,0.9316774413075,0.564870259481038,0.741495443482198,0.655638076342154,993,tags=16%, list=8%, signal=15%,20423/11423/12569/12571
HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,HALLMARK_CHOLESTEROL_HOMEOSTASIS,71,0.366288295643741,1.13232337606547,0.25,0.446428571428571,0.394736842105263,2002,tags=24%, list=15%, signal=20%,104174/16956/12411/16592/16449/107503/27279/71914/11305/66102/18030/11747/228775/17855/69590/12660/110006
HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,HALLMARK_MYC_TARGETS_V1,187,0.358856386972345,1.26163025876416,0.0495412844036697,0.261110186103139,0.23087637508067,4899,tags=53%, list=37%, signal=34%,14375/110074/14113/56086/103136/18263/66942/18972/12462/12567/73192/11792/52530/12729/67134/68981/13664/19935/56200/12566/20462/68092/12034/12465/19385/22171/230721/15528/101943/30877/24015/18393/433702/17218/20810/26754/66409/17220/27966/230484/69692/20588/67781/12464/12237/231872/27366/19384/23996/22630/51810/110809/108062/21781/20383/17869/233870/55944/56150/15982/15182/17217/16647/26445/20815/22627/20382/16898/26446/20103/14719/53605/17219/20174/15191/13204/20639/66973/107686/66870/21849/11757/13665/27979/12330/22327/20641/22123/59029/67115/20823/78655/17463/14208/381760/28126/225027/23983/53379
HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,HALLMARK_KRAS_SIGNALING_UP,139,0.355795020702487,1.21140306758252,0.104129263913824,0.361394557823129,0.319548872180451,1774,tags=24%, list=13%, signal=21%,13874/66066/16002/217410/56847/26359/67468/72309/18109/18791/17385/19092/64297/14257/18792/56195/56743/23871/16398/13823/11732/74114/14180/20186/12223/23882/30951/73379/16323/66795/18080/66058/13730/18546
HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,HALLMARK_WNT_BETA_CATENIN_SIGNALING,35,0.348549957377185,0.943288877704029,0.539622641509434,0.741495443482198,0.655638076342154,903,tags=9%, list=7%, signal=8%,16842/93960/16449
HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,HALLMARK_KRAS_SIGNALING_DN,91,0.345659341242595,1.11351421831074,0.244565217391304,0.446428571428571,0.394736842105263,1544,tags=25%, list=12%, signal=22%,140781/15139/20503/15551/56358/104271/21808/20191/16682/13645/18506/213417/16536/57385/14570/17687/208922/15484/21785/72434/11686/20621/98363
HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,HALLMARK_ALLOGRAFT_REJECTION,108,0.338603529410746,1.12184603931697,0.229656419529837,0.446428571428571,0.394736842105263,1560,tags=19%, list=12%, signal=17%,13874/20452/14062/15163/15894/21808/21899/14999/11423/15976/192176/23871/16174/24088/12703/14102/14998/11785/12977/21354/16323
HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,HALLMARK_INFLAMMATORY_RESPONSE,109,0.336799587860738,1.11573055881435,0.23731884057971,0.446428571428571,0.394736842105263,1580,tags=21%, list=12%, signal=19%,13874/20511/18578/20698/15894/18787/218215/21983/326623/54403/16182/15465/16174/18414/24088/11987/20354/257632/16177/12977/73379/16323/15451
HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,HALLMARK_E2F_TARGETS,192,0.335946228077406,1.18263201273915,0.111940298507463,0.361394557823129,0.319548872180451,4585,tags=47%, list=35%, signal=31%,17865/14375/101739/17768/19362/18861/110074/19076/101565/68479/19891/21853/66929/18972/12578/12567/20135/67134/66979/20425/20462/18971/14056/12649/14793/19385/17121/78833/108961/70472/12580/22059/212377/18393/67684/66131/17218/17685/20873/16881/19355/17220/21379/230484/24061/22154/98386/16765/18969/17350/16906/69639/19384/12531/69724/17215/110809/17869/16201/109145/73804/56150/69270/12190/20638/100336/66442/67196/71777/17279/17217/16647/78304/15201/21877/20382/12447/53605/17219/20842/52276/26951/77891/13665/18817/19090/110033/100710/72107/70699
